iter	RMSE
0	33.00405182
1	32.18865845
2	31.43950764
3	30.79126091
4	30.09102078
5	29.46796773
6	28.93045646
7	28.28532627
8	27.75638382
9	27.16305196
10	26.59566309
11	26.12578215
12	25.66143016
13	25.32013051
14	24.90394358
15	24.55635718
16	24.17269491
17	23.79919381
18	23.64253359
19	23.2878871
20	22.97493074
21	22.64377212
22	22.3515143
23	22.13421381
24	21.89776517
25	21.6639722
26	21.45892729
27	21.29802149
28	21.12534116
29	20.96129874
30	20.76652889
31	20.60433462
32	20.43469958
33	20.25269266
34	20.11172795
35	19.97176204
36	19.83964437
37	19.72678928
38	19.58696815
39	19.432573
40	19.30761972
41	19.21419481
42	19.10734574
43	19.00776243
44	18.90928613
45	18.83054435
46	18.72927983
47	18.65313974
48	18.57269305
49	18.51056168
50	18.45576433
51	18.39661876
52	18.33252986
53	18.26827695
54	18.2067448
55	18.1395366
56	18.08231531
57	18.02240218
58	17.97468625
59	17.92921592
60	17.88464997
61	17.84237513
62	17.79307146
63	17.74686271
64	17.69228008
65	17.6677604
66	17.62981225
67	17.58936163
68	17.55720428
69	17.52658818
70	17.48727322
71	17.46026547
72	17.41512895
73	17.38686803
74	17.35763645
75	17.32736041
76	17.27745856
77	17.25016367
78	17.2308201
79	17.20926015
80	17.18103703
81	17.16437111
82	17.13939046
83	17.12178635
84	17.09689044
85	17.07165696
86	17.05503081
87	17.03719563
88	17.01946508
89	17.00452646
90	16.98435503
91	16.96544323
92	16.94521736
93	16.91730448
94	16.89496593
95	16.87414448
96	16.84664957
97	16.82785678
98	16.81295499
99	16.76816957
100	16.74535408
101	16.71744525
102	16.70718683
103	16.6890773
104	16.67229406
105	16.65647819
106	16.64119569
107	16.62908027
108	16.61581371
109	16.59865493
110	16.57572691
111	16.56470344
112	16.55107073
113	16.54559441
114	16.53836957
115	16.52466642
116	16.5065782
117	16.49011284
118	16.47328672
119	16.45466286
120	16.43987558
121	16.42678115
122	16.41056716
123	16.40252824
124	16.38149493
125	16.36154973
126	16.35060002
127	16.34196447
128	16.33505059
129	16.31945556
130	16.30199817
131	16.28683406
132	16.27327282
133	16.26524912
134	16.25579399
135	16.2432414
136	16.23023275
137	16.22150037
138	16.21050426
139	16.20094802
140	16.18413943
141	16.17173502
142	16.16224997
143	16.1549152
144	16.13926056
145	16.12770746
146	16.11815768
147	16.09842681
148	16.09155836
149	16.08579431
150	16.07856606
151	16.07153766
152	16.060592
153	16.04493766
154	16.03069191
155	16.01711121
156	16.01148003
157	15.98929895
158	15.98109635
159	15.95730158
160	15.93681834
161	15.92510229
162	15.9138681
163	15.90800742
164	15.89694206
165	15.88303224
166	15.87558301
167	15.86594712
168	15.85597009
169	15.84274569
170	15.83448843
171	15.82748245
172	15.81782464
173	15.81286327
174	15.80737359
175	15.79862053
176	15.7776816
177	15.77204342
178	15.76913462
179	15.75262543
180	15.74371811
181	15.73914996
182	15.73540516
183	15.71651248
184	15.71324647
185	15.70658524
186	15.69449112
187	15.68149348
188	15.67677504
189	15.66391653
190	15.65246152
191	15.64324397
192	15.6348534
193	15.62386154
194	15.61433038
195	15.60479338
196	15.58838584
197	15.58397607
198	15.58091722
199	15.57739039
200	15.5522903
201	15.54351576
202	15.54054378
203	15.53052131
204	15.52698031
205	15.49817843
206	15.48229136
207	15.47663152
208	15.47404716
209	15.44634113
210	15.44327518
211	15.43762749
212	15.41959703
213	15.40471735
214	15.39519636
215	15.38778509
216	15.3758809
217	15.36587776
218	15.36305982
219	15.36049457
220	15.35485859
221	15.35166729
222	15.34443652
223	15.34137896
224	15.33632643
225	15.32954236
226	15.32153047
227	15.31723989
228	15.31398556
229	15.3067819
230	15.29277513
231	15.2845965
232	15.27268221
233	15.2708755
234	15.25928652
235	15.23577525
236	15.22419802
237	15.20700737
238	15.18455276
239	15.18058989
240	15.16806496
241	15.16565646
242	15.16033452
243	15.15405914
244	15.13938812
245	15.13568004
246	15.12842727
247	15.12648096
248	15.12210699
249	15.11851318
250	15.0982551
251	15.09581033
252	15.07658159
253	15.06209813
254	15.04628688
255	15.04428283
256	15.03808774
257	15.02891002
258	15.02482059
259	15.01077155
260	14.98779102
261	14.97858311
262	14.97174952
263	14.97025984
264	14.96642979
265	14.95910363
266	14.95274729
267	14.94680462
268	14.93758761
269	14.92840673
270	14.92022259
271	14.91675333
272	14.90996502
273	14.89914471
274	14.88674482
275	14.88418598
276	14.87344982
277	14.8643811
278	14.84751639
279	14.84158584
280	14.84004946
281	14.83884476
282	14.83326265
283	14.81608616
284	14.81509632
285	14.8122352
286	14.80570558
287	14.79659712
288	14.79528793
289	14.78911303
290	14.7877668
291	14.78087555
292	14.77388795
293	14.75237236
294	14.73896424
295	14.73413012
296	14.72346976
297	14.71300579
298	14.70876788
299	14.70449577
300	14.7022712
301	14.69870895
302	14.68819229
303	14.68261024
304	14.68144487
305	14.67779083
306	14.66281288
307	14.66152124
308	14.6604976
309	14.65945618
310	14.65524422
311	14.64625848
312	14.63482864
313	14.63245463
314	14.6259929
315	14.61968294
316	14.59938401
317	14.58412559
318	14.58153687
319	14.57990318
320	14.56876237
321	14.56720351
322	14.55866791
323	14.55763828
324	14.54752737
325	14.54308167
326	14.5424214
327	14.53741036
328	14.53211216
329	14.52085273
330	14.51838629
331	14.51062442
332	14.50414835
333	14.50067391
334	14.49381441
335	14.49313231
336	14.49234967
337	14.49038632
338	14.48983155
339	14.48145695
340	14.4777863
341	14.47090282
342	14.46681997
343	14.45946276
344	14.45287952
345	14.44978114
346	14.43766022
347	14.43346855
348	14.42740737
349	14.42658494
350	14.41267069
351	14.41209807
352	14.41157509
353	14.40591801
354	14.3974599
355	14.39671305
356	14.38752224
357	14.38228722
358	14.37141322
359	14.36584774
360	14.35513975
361	14.35323127
362	14.34680549
363	14.34030688
364	14.33569781
365	14.33038684
366	14.32608637
367	14.31010907
368	14.30898758
369	14.29454974
370	14.27982507
371	14.27272484
372	14.26637347
373	14.25205646
374	14.24769951
375	14.24459979
376	14.24163868
377	14.2364932
378	14.22599901
379	14.21768265
380	14.21087869
381	14.19983203
382	14.18820419
383	14.18013825
384	14.16579466
385	14.16519364
386	14.15026872
387	14.14447485
388	14.13659874
389	14.12774062
390	14.11520573
391	14.10104015
392	14.09186236
393	14.08322694
394	14.06922877
395	14.06113199
396	14.05703695
397	14.04842698
398	14.03966597
399	14.03011602
400	14.02562177
401	14.01746294
402	14.00912936
403	14.0004416
404	13.99909893
405	13.99847079
406	13.9941313
407	13.98626665
408	13.97060062
409	13.96803827
410	13.95028544
411	13.9389729
412	13.93038618
413	13.92432354
414	13.91348964
415	13.90780391
416	13.90281963
417	13.89769725
418	13.89520705
419	13.88523485
420	13.87212473
421	13.86715925
422	13.86048363
423	13.85762639
424	13.84843436
425	13.83517562
426	13.82868815
427	13.81680788
428	13.8090241
429	13.80158407
430	13.78994424
431	13.78613405
432	13.78034717
433	13.77525741
434	13.76949437
435	13.75945482
436	13.75564051
437	13.7478857
438	13.7353438
439	13.73280071
440	13.72727098
441	13.71805542
442	13.71341142
443	13.71016261
444	13.70493507
445	13.70098661
446	13.70044136
447	13.68718841
448	13.68123214
449	13.67673062
450	13.66585539
451	13.65496366
452	13.64756968
453	13.6417748
454	13.63621132
455	13.6278302
456	13.61856588
457	13.61266921
458	13.60662975
459	13.60411631
460	13.59675334
461	13.5880492
462	13.5807939
463	13.57511708
464	13.56095746
465	13.55429468
466	13.54145509
467	13.53962494
468	13.53901499
469	13.53227024
470	13.52559611
471	13.52367956
472	13.51048326
473	13.50544438
474	13.50254457
475	13.49204019
476	13.48808925
477	13.47800303
478	13.4716692
479	13.46328575
480	13.45513447
481	13.44138826
482	13.43642196
483	13.43237214
484	13.42260144
485	13.41588647
486	13.41298696
487	13.41089132
488	13.41036914
489	13.39520117
490	13.39132616
491	13.38746516
492	13.3830447
493	13.37863837
494	13.37378031
495	13.37212853
496	13.36741812
497	13.36511254
498	13.35816859
499	13.35676093
500	13.3492201
501	13.33688645
502	13.33354069
503	13.32712046
504	13.32395907
505	13.31950937
506	13.31850868
507	13.31470658
508	13.31277256
509	13.30782198
510	13.30133956
511	13.29678563
512	13.29199592
513	13.28863656
514	13.28714117
515	13.27771504
516	13.26849997
